k,w,double_decycling_dna_mean,double_decycling_dna_std,double_decycling_dna_min,double_decycling_dna_max,one_zero_dna_mean,one_zero_dna_std,one_zero_dna_min,one_zero_dna_max,abb_plus_dna_mean,abb_plus_dna_std,abb_plus_dna_min,abb_plus_dna_max,miniception_dna_mean,miniception_dna_std,miniception_dna_min,miniception_dna_max,open_closed_dna_mean,open_closed_dna_std,open_closed_dna_min,open_closed_dna_max
16,29,1.6560569871736859,0.0007572736423788602,1.6551510003104954,1.6568759752983582,1.6906404857129573,0.0011501517887204812,1.6890055094201133,1.6919604665732346,1.7322858818547133,0.0014651724282048223,1.7300299145662388,1.7338398593220399,1.9119172771994808,0.0023330087127776075,1.9096823096065108,1.9147222365275705,1.7133021571187217,0.0016256401388297927,1.7114601838273344,1.7151951296706198
26,80,1.7720066197352107,0.0012959481620735715,1.77014369425223,1.7734645614175435,1.8078071877124917,0.005173816650875074,1.7990190392384304,1.811735530578777,1.8262258509659612,0.004260460379952643,1.820280688772449,1.8306077756889725,1.935652473901044,0.0010743144749215954,1.934648114075437,1.9372805087796487,1.7959492620295188,0.004099488405117941,1.7915268389264427,1.8019754209831607
14,92,1.8951691222203777,0.0025791437684872637,1.8925094445655501,1.899205136563718,1.8284539911164086,0.0037668433564404845,1.823739108001032,1.8325272037486275,1.836981698841853,0.003592302092159928,1.8311787657767742,1.8400598572465667,1.97391789977661,0.00467545184153915,1.969184417516794,1.9815063507078674,1.9129964021655006,0.003781165352942885,1.9076677472836252,1.9180832681696645
23,25,1.5676920038499518,0.0008876804607864296,1.5666234172072848,1.5688203897451283,1.6778604267446657,0.0010603596987612005,1.6768100398745016,1.679098011274859,1.7301145735678305,0.002679758136714213,1.7273664079199011,1.734373320333496,1.8411227859651753,0.002205429232890413,1.8383980200247496,1.843506956163048,1.5933744828189647,0.0010613155233284855,1.5921680978987762,1.5946900663741703
27,77,1.7549168357018252,0.0016906197723709896,1.7529825101733583,1.7569603570262544,1.8034075688086009,0.003703009604916511,1.7972458060364678,1.8067224411860143,1.8222126448131746,0.005041481785036539,1.8145611393961332,1.8275476394158825,1.9325627963323413,0.003442862904320653,1.927071807735402,1.9365484428849489,1.7795326879915123,0.0031638576003913256,1.7744316843801515,1.7826603675758483
10,64,1.8953198497648074,0.0035091804590459885,1.891309478096701,1.8998567045854533,1.798934434098109,0.0023680348885830723,1.7964450137595598,1.8013523567245848,1.8004748848036864,0.0026509073201431755,1.7968999992000254,1.8041472672874468,1.9782961945217754,0.003949031531733901,1.9739868324213625,1.982079073469649,1.9238669362580396,0.0026780996706085203,1.921371016127484,1.928130799814406
28,79,1.7538987210005204,0.0026177430423164664,1.7509308382318898,1.757330585441875,1.806392647490424,0.004634866005596516,1.7985689565262173,1.809528523623317,1.8250559102915436,0.004400862407548863,1.8185281681373586,1.829167747873959,1.929667778122764,0.004401880191733943,1.925563940224361,1.936243518381024,1.7764818289677557,0.002747166500459357,1.7732099582066507,1.779409713316324
31,63,1.6726769106773136,0.000969099392420232,1.671531346762577,1.67396327015699,1.7805391130179398,0.002330177058064469,1.7780239922442442,1.783463820889642,1.8023880247772195,0.003642449634265026,1.7991753259772316,1.8063750991843757,1.908099894853312,0.004693936929313374,1.9028840591521368,1.9126757507138525,1.701962388184772,0.0014236854654486057,1.6997544577345813,1.7034343418182327
11,33,1.7858783330075056,0.0010032427350140452,1.7847495516323981,1.7873335089971016,1.7109775688701134,0.001423598370532148,1.7084548104956268,1.7119057535550664,1.7352803678739304,0.0017259948407422,1.7333423998504025,1.73711633758043,1.9534955673231391,0.00280182505529558,1.9505138165220275,1.9566847147022073,1.8399952400785389,0.001731820090412454,1.8379926731208935,1.8414606158998377
30,32,1.5625282995472074,0.0017671055497666221,1.560363534183453,1.564471968448505,1.6996543055311115,0.0011537433764482003,1.6976413377385964,1.700578290747348,1.7389863762179805,0.001304752552566642,1.736696212860594,1.7399631605894306,1.8196964848562422,0.0012433840225295099,1.817495420073279,1.8204323730820307,1.5800642189724965,0.00045740291864906403,1.5795692268923696,1.5807407081486695
